Курс;Категория;Всего_MB;Размер_резервной_копии_MB
Яковлева А.П. Высшая математика П-16 2022;Общепрофессиональный цикл;271;0
Яковлева А.П. Математика П16 2022;Базовые дисциплины;265;0
Морев В.Д. БЖД Ю20;Базовые дисциплины;239;0
Малышева А.А. МДК 03.01 16 группа (Филиал) 2022;Базовые дисциплины;189;0
Малышева ОП 2022;Базовые дисциплины;182;0
МДК.02.02 НП-31 Лебедева.И.Д. 2022;Профессиональный Модуль;174;0
Бочинова О.Б. Информатика 1 курс 2022;Базовые дисциплины;174;0
Яковлева Ж.С. ДМ 2022;Базовые дисциплины;169;0
Пронина. С.В Русский язык 2022;Базовые дисциплины;167;0
 Литература Ю-10 Пронина.С.В 2022;Общеобразовательные дисциплины ;162;0
Админ.Право Яковлева Т.М. 2022;Общепрофессиональный цикл;156;0
История родного края Ф Пронина С.В. 2022;Общеобразовательные дисциплины ;147;0
Техническая механика с основами технических измерений Н-16 (Филиал) 2022;Базовые дисциплины;142;0
ПСАТОиР У-29 Хрусталева.С.Н 2022;Профильные дисциплины;140;0
Плискин В.А. ЭВМ П26 2022;Базовые дисциплины;113;0
Малышева А.А. МДК 04.01 2022;Базовые дисциплины;95;0
Ф 18 Арцыбашева И.И. Обществознание 2022;Общеобразовательные дисциплины ;91;0
Румянцева О.В. Экология 2022;Базовые дисциплины;89;0
Пронина С.В. Право 2022;Базовые дисциплины;88;0
Яковлева А.П. Математика  Ю-10 2022;Базовые дисциплины;84;0
Плискин В.А. ЭВМ 2022;Базовые дисциплины;83;0
МДК.01.02 НП21 Лебедева.И.Д 2022;Профессиональный Модуль;80;0
Бочинова О.Б. «Обществознание» (Филиал) 2022;Базовые дисциплины;78;0
У-19 Ткачёва.Ю.С Стандартизация 2022;Общеобразовательные дисциплины ;76;0
МДК 01.03 Крылов А.Б. 2022;Базовые дисциплины;73;0
Румянцева О.В. Экология(Филиал) 2022;Базовые дисциплины;64;0
Малышева А.А. МДК 05.01 2022;Базовые дисциплины;63;0
Иностранный язык У-39 Эдиберидзе.Л.Г 2022;Общеобразовательные дисциплины ;62;0
Петрова В.М. ОП 01 Инженерная графика 2022;Базовые дисциплины;59;0
Право Яковлева Т.М. 2022;Общепрофессиональный цикл;58;0
МДК.01.02 Петрова.Г.А 2022;Профессиональный Модуль;57;0
Борисов А.В. Химия 2022;Базовые дисциплины;56;0
Михайлова Е.В. Литература (Филиал) 2022;Базовые дисциплины;55;0
Михайлова Н.В. Русский язык Э-12, П-16 2022;Базовые дисциплины;53;0
История родного края  Михайлов.А.С 2022;Общеобразовательные дисциплины ;52;0
Иностранный язык С-39 Эдиберидзе.Л.Г 2022;Базовые дисциплины;51;0
Компьютерная графика 2022;Базовые дисциплины;51;0
МДК.01.03 Хрусталёва.С.Н 2022;Профессиональный Модуль;48;0
Малышева В.М. МДК 01.02 2022;Базовые дисциплины;47;0
Малышева А.А. МДК 01.01 2022;Базовые дисциплины;47;0
Соловьева Е.В. Административное право 2022;Базовые дисциплины;45;0
Воробьёва Е.В. Электротехника НП-25 2022;Базовые дисциплины;42;0
Плискин В.А. ТГП 2022;Базовые дисциплины;41;0
Григорьева М.В. Философия 2022;Базовые дисциплины;41;0
Иностранный язык Эдиберидзе.Л.Г (филиал) 2022;Базовые дисциплины;41;0
МДК.01.01 Петрова Г.А 2022;Профессиональный Модуль;39;0
Прусикин Д.В. Электрические машины и аппараты 2022;Базовые дисциплины;38;0
Яковлева Ж.С. ДЭ 2022;Базовые дисциплины;38;0
Малышева А.А. Основы калькуляции 2022;Базовые дисциплины;38;0
Обществознание для профессий среднего профессионального образования (базовый уровень) 2022;Базовые дисциплины;36;0
МДК.03.03 У-49 Хрусталева.С.Н 2022;Профессиональный Модуль;36;0
Леонтьева У.В. География 2022;Базовые дисциплины;35;0
Малышева А.А. МДК 01.01 Монтаж промышленного оборудования и контроль за ним 2022;Базовые дисциплины;35;0
Иностранный язык П-16 Эдиберидзе Л.Г. 2022;Общеобразовательные дисциплины ;35;0
ОЭП Яковлева Т.М. 2022;Общепрофессиональный цикл;34;0
Иванова В.В. Психология Э-42 2022;Базовые дисциплины;34;0
Малышева А.А. МДК 01.02  У-29 2022;Базовые дисциплины;34;0
Яковлева Ж.С. МПО 2022;Базовые дисциплины;33;0
Малышева А.А. ИТ Ю-30 2022;Базовые дисциплины;33;0
Воробьёва К.Е. КП 2022;Базовые дисциплины;32;0
Математика П-13 Ткачева.Ю.С 2022;Общеобразовательные дисциплины ;32;0
Теория вероятности У-39 Леонова.Н.В 2022;Профильные дисциплины;32;0
Яковлева А.П. Математика (Филиал) 2022;Базовые дисциплины;31;0
А П-16 Пронина С.В.;Общеобразовательные дисциплины ;31;0
Иностранный язык НП-15 Эдиберидзе Л.Г. 2022;Общеобразовательные дисциплины ;30;0
Математика С-17 Ткачева.Ю.С 2022;Общеобразовательные дисциплины ;30;0
Малышева А.А. ОПБД 2022;Базовые дисциплины;28;0
Малышева А.А. МДК 03.01 Повар 2022;Базовые дисциплины;27;0
ИТвПД Плискин В.А. 2022;Общепрофессиональный цикл;27;0
Малышева А.А.  Слесарное дело (Филиал) 2022;Базовые дисциплины;27;0
Малышева А.А. МДК 01.04 2022;Базовые дисциплины;26;0
УП 03 П-26 2022;Базовые дисциплины;26;0
Физика Ф-26 Арцыбашева И.И. 2022;Общеобразовательные дисциплины ;25;0
иванова В.А. Астрономия 2022;Базовые дисциплины;25;0
Михайлова В.М. Русский язык 2022;Базовые дисциплины;25;0
ОПиП С-27 Румянцева.О.В 2022;Общепрофессиональный цикл;24;0
Яковлева А.П. Математика НП-21 2022;Базовые дисциплины;24;0
Малышева А.А.  Русский язык 2022;Базовые дисциплины;24;0
Малышева А.А.  ИТ ЗО 2022;Базовые дисциплины;24;0
Малышева А.А. МДК 01.02 2022;Базовые дисциплины;24;0
Пронина С.В. Математика 2022  ;Базовые дисциплины;23;0
ФКиН У-39 Рахимова.Р.В 2022;Профильные дисциплины;23;0
МДК.01.01 У-39 Рахимова.Р.В 2022;Профессиональный Модуль;23;0
Малышева А.А. Мастер по лесному хозяйству МДК 02.02 (Филиал) 2022;Базовые дисциплины;22;0
Малышева А.А.  Основы микробиологии,физиологии питания, санитарии и гигиены 2022;Базовые дисциплины;22;0
Малышева А.А.  ТСИ 2022;Базовые дисциплины;21;0
Малышева А.А. МДК 01.01 С-27 2022;Базовые дисциплины;21;0
Яковлева Ж.С. Техническая механика 2022;Базовые дисциплины;21;0
Яковлева Ж.С. Литература 2022;Базовые дисциплины;21;0
Физика НП-15 Пронина С.В. 2022;Общеобразовательные дисциплины ;21;0
Яковлева Ж.С. УП.01.46.2022;Профильные дисциплины;20;0
Пронина.С.В Математика Э-22 2022;Общеобразовательные дисциплины ;20;0
Естествознание Токар М.Й. 2022;Базовые дисциплины;20;0
Малышева А.А. МДК 03.01 2022;Базовые дисциплины;19;0
НП-31 МДК.02.02. 2022;Базовые дисциплины;18;0
Яковлева Ж.С. УИД 2022;Базовые дисциплины;18;0
Яковлева Ж.С. Экономика организации 2022;Базовые дисциплины;17;0
Яковлева Ж.С. Основы учебно исследовательской деятельности 2022;Базовые дисциплины;17;0
Яковлева Ж.С. Электротехника 2022;Базовые дисциплины;16;0
Яковлева Ж.С. Процессы формообразования и инструменты 2022;Базовые дисциплины;16;0
